idProducto,nombre,categoria,precioCompra,precioVenta,cantidadStock,stockMinimo,idProveedorAsociado
PROD-0001,Teclado Mecánico V3,Electrónica,40.51,50.31,26,27,PROV-102
PROD-0002,Cerveza Artesanal V1,Bebidas,0.72,0.86,129,29,PROV-101
PROD-0003,Gaseosa Cola 2L V5,Bebidas,3.65,4.53,71,10,PROV-103
PROD-0004,Fideos Espagueti V3,Abarrotes,1.67,2.24,86,13,PROV-102
PROD-0005,Arroz Extra 1kg V3,Abarrotes,6.86,8.72,11,24,PROV-109
PROD-0006,Cable HDMI V1,Electrónica,85.05,123.22,92,28,PROV-104
PROD-0007,Teclado Mecánico V2,Electrónica,117.09,175.12,59,13,PROV-107
PROD-0008,Cloro Blanqueador V3,Limpieza,1.72,2.1,68,30,PROV-102
PROD-0009,Gaseosa Cola 2L V5,Bebidas,5.97,7.06,97,18,PROV-109
PROD-0010,Yogurt de Fresa V1,Lácteos,2.22,2.57,80,22,PROV-105
PROD-0011,Audífonos Bluetooth V5,Electrónica,132.07,170.95,127,22,PROV-108
PROD-0012,Yogurt de Fresa V2,Lácteos,2.35,2.97,67,28,PROV-107
PROD-0013,Cerveza Artesanal V3,Bebidas,2.14,2.89,130,25,PROV-102
PROD-0014,Mouse Óptico V2,Electrónica,95.98,137.98,108,29,PROV-102
PROD-0015,Azúcar Blanca 1kg V5,Abarrotes,7.97,10.01,141,10,PROV-102
PROD-0016,Jugo de Naranja 1L V3,Bebidas,1.34,1.66,116,10,PROV-105
PROD-0017,Gaseosa Cola 2L V5,Bebidas,7.34,9.72,76,30,PROV-109
PROD-0018,Gaseosa Cola 2L V2,Bebidas,3.3,3.9,135,10,PROV-110
PROD-0019,Cloro Blanqueador V1,Limpieza,1.34,1.64,78,17,PROV-101
PROD-0020,Crema de Leche V1,Lácteos,1.14,1.42,17,27,PROV-103
PROD-0021,Mantequilla con sal V5,Lácteos,1.74,2.18,108,16,PROV-109
PROD-0022,Yogurt de Fresa V4,Lácteos,7.96,10.19,112,26,PROV-108
PROD-0023,Audífonos Bluetooth V2,Electrónica,14.28,17.23,141,17,PROV-110
PROD-0024,Leche Entera 1L V1,Lácteos,5.81,6.75,17,11,PROV-106
PROD-0025,Audífonos Bluetooth V3,Electrónica,102.0,128.96,33,28,PROV-110
PROD-0026,Aceite de Girasol 1L V4,Abarrotes,6.56,7.79,24,23,PROV-106
PROD-0027,Azúcar Blanca 1kg V4,Abarrotes,6.98,8.1,25,11,PROV-107
PROD-0028,Detergente Líquido V2,Limpieza,1.94,2.44,35,23,PROV-103
PROD-0029,Cloro Blanqueador V2,Limpieza,7.06,8.23,140,13,PROV-101
PROD-0030,Agua Mineral 500ml V1,Bebidas,7.45,9.83,42,23,PROV-108
PROD-0031,Aceite de Girasol 1L V4,Abarrotes,7.27,8.6,0,22,PROV-105
PROD-0032,Fideos Espagueti V4,Abarrotes,5.72,7.41,142,25,PROV-103
PROD-0033,Yogurt de Fresa V2,Lácteos,7.77,9.84,138,11,PROV-106
PROD-0034,Teclado Mecánico V5,Electrónica,74.13,109.4,135,15,PROV-101
PROD-0035,Agua Mineral 500ml V2,Bebidas,1.01,1.18,60,22,PROV-102
PROD-0036,Gaseosa Cola 2L V5,Bebidas,4.96,6.32,107,28,PROV-110
PROD-0037,Jugo de Naranja 1L V3,Bebidas,2.03,2.63,61,18,PROV-107
PROD-0038,Yogurt de Fresa V4,Lácteos,2.87,3.73,18,10,PROV-108
PROD-0039,Energizante V1,Bebidas,1.05,1.25,67,14,PROV-106
PROD-0040,Audífonos Bluetooth V3,Electrónica,46.32,61.67,139,19,PROV-110
PROD-0041,Agua Mineral 500ml V5,Bebidas,2.75,3.53,34,18,PROV-102
PROD-0042,Monitor 24 pulgadas V3,Electrónica,45.85,57.92,87,16,PROV-105
PROD-0043,Cerveza Artesanal V3,Bebidas,7.29,9.62,23,30,PROV-107
PROD-0044,Detergente Líquido V1,Limpieza,3.0,3.53,67,15,PROV-108
PROD-0045,Cerveza Artesanal V5,Bebidas,0.57,0.66,38,27,PROV-101
PROD-0046,Jabón de Manos V5,Limpieza,1.61,1.89,78,21,PROV-101
PROD-0047,Desinfectante de Pisos V2,Limpieza,5.5,6.71,143,23,PROV-110
PROD-0048,Queso Mozzarella V2,Lácteos,7.82,10.26,105,10,PROV-103
PROD-0049,Cloro Blanqueador V2,Limpieza,2.5,3.27,27,22,PROV-101
PROD-0050,Aceite de Girasol 1L V2,Abarrotes,6.62,8.22,78,17,PROV-104
PROD-0051,Audífonos Bluetooth V4,Electrónica,52.6,76.76,71,21,PROV-109
PROD-0052,Atún en Conserva V5,Abarrotes,2.98,3.44,66,15,PROV-110
PROD-0053,Detergente Líquido V1,Limpieza,4.97,6.06,80,23,PROV-110
PROD-0054,Agua Mineral 500ml V4,Bebidas,7.25,8.61,11,23,PROV-101
PROD-0055,Energizante V2,Bebidas,3.23,3.76,84,29,PROV-106
PROD-0056,Memoria RAM 16GB V5,Electrónica,49.85,65.93,103,19,PROV-109
PROD-0057,Queso Mozzarella V4,Lácteos,5.49,6.73,44,29,PROV-110
PROD-0058,Cloro Blanqueador V5,Limpieza,6.75,8.17,53,23,PROV-110
PROD-0059,Jugo de Naranja 1L V4,Bebidas,3.81,4.9,130,25,PROV-103
PROD-0060,Memoria RAM 16GB V5,Electrónica,101.26,140.32,23,17,PROV-105
PROD-0061,Queso Mozzarella V2,Lácteos,0.68,0.82,121,29,PROV-102
PROD-0062,Azúcar Blanca 1kg V5,Abarrotes,1.96,2.53,126,22,PROV-104
PROD-0063,Leche Entera 1L V1,Lácteos,6.34,7.57,132,24,PROV-101
PROD-0064,Gaseosa Cola 2L V1,Bebidas,3.92,5.14,135,27,PROV-110
PROD-0065,Cloro Blanqueador V5,Limpieza,6.61,8.78,109,27,PROV-108
PROD-0066,Mantequilla con sal V4,Lácteos,2.44,2.93,70,26,PROV-108
PROD-0067,Yogurt de Fresa V4,Lácteos,1.08,1.3,69,20,PROV-106
PROD-0068,Agua Mineral 500ml V2,Bebidas,1.63,2.0,39,16,PROV-102
PROD-0069,Azúcar Blanca 1kg V3,Abarrotes,4.57,5.64,52,23,PROV-107
PROD-0070,Agua Mineral 500ml V5,Bebidas,3.35,3.86,90,19,PROV-107
PROD-0071,Sal Yodada V5,Abarrotes,6.5,8.64,124,17,PROV-105
PROD-0072,Azúcar Blanca 1kg V1,Abarrotes,3.42,4.39,103,15,PROV-108
PROD-0073,Crema de Leche V5,Lácteos,0.7,0.86,144,10,PROV-102
PROD-0074,Aceite de Girasol 1L V4,Abarrotes,1.86,2.24,83,16,PROV-108
PROD-0075,Esponja de Platos V4,Limpieza,2.59,3.47,107,18,PROV-102
PROD-0076,Arroz Extra 1kg V5,Abarrotes,0.89,1.19,57,30,PROV-102
PROD-0077,Teclado Mecánico V2,Electrónica,33.91,40.9,39,17,PROV-103
